TAS_SOURCE_ID,PLANT_ID,COMPANY_ID,VEND_NM,VENDOR_ID,SUPPLIER_TYPE,SUPPLYING_PLANT,PURCHASE_GROUP_ID,PURCHASING_GROUP_NAME,PURCHASE_ORDER_TYPE_ID,PURCHASE_ORDER_TYPE_DESCRIPTION,PURCHASE_ORDER_HEADER_CREATION_DATE,PURCHASE_ORDER_ID,PURCHASE_ORDER_ITEM_ID,PURCHASE_ORDER_SCHED_LINE_ID,MATERIAL_GROUP,MATERIAL_GROUP_DESCRIPTION,MATERIAL_ID,MATERIAL_NUMBER,PRFT_CNTR_ID,PO_SCHD_LINE_QTY,RECEIVED_QTY,SHIPPED_NOT_RECEIVED_QTY,STATISTICS_RELEVANT_DATE,PO_SCHD_LINE_DELIVERY_DATE,PO_COMMIT_DT,EXCPTN_MSG_NUM,EXCPTN_MSG_DESC,EXCPTN_RSCHD_DT,OPEN_QTY,OPEN_SUPPLYING_PLANT_QTY,OPEN_VALUE_IN_DC,OPEN_VALUE_IN_USD,DOCUMENT_CURRENCY,OVERRIDE_DATE,TRADE_OFF_ZONE,DWH_CHANGE_DATE,ELIKZ_EKPO,MENGE_EKPO,LOEKZ_EKPO,LOEKZ_EKKO,MENGE_EKET,WEMNG_EKET,STATU_EKKO,EREKZ_EKPO_FINALINVIND,EGLKZ_EKPO_OUTWARDDELCOMPLETEIND,REASON_FOR_CANCELLATION
SAP01,P100,CO-SAP01,Honeywell Aerospace,V1002,Subcontractor,P900,PG5,Raw Materials Procurement,UB,Stock Transfer,2024-09-20,4525521714,130,5,MG05,Fasteners & Hardware,MAT00017,1000017,PC-4114,218.0,127.0,13.0,2026-05-29,2026-11-02,2026-03-23,,Expedite,2026-10-03,91.0,31.0,143347.75,143347.75,USD,,7,2025-07-06 13:04:42,X,218.0,,,218.0,127.0,9,X,,
SAP03,P500,CO-SAP03,Heico Corp,V1009,External,P010,PG3,Mechanical Procurement,ZNB,Subcontracting,2025-03-30,4586384014,100,4,MG05,Fasteners & Hardware,MAT00026,1000026,PC-9977,65.0,22.0,42.0,2025-11-03,2026-10-11,2025-10-21,06,Cancel,2026-11-07,43.0,14.0,202203.63,223718.1,MXN,,24,2025-08-15 14:43:13,X,65.0,,,65.0,22.0,9,,,
SAP03,P500,CO-SAP03,Heico Corp,V1009,External,P800,PG2,Electronics Procurement,NB,Standard PO,2025-01-17,4565625330,190,2,MG06,Seals & Gaskets,MAT00044,1000044,PC-7291,75.0,3.0,25.0,2025-10-03,2026-04-12,2025-06-01,,,2026-04-23,72.0,6.0,354228.48,377890.94,GBP,,28,2025-08-26 01:35:15,,75.0,,,75.0,3.0,5,,X,
SAP02,P900,CO-SAP02,Heico Corp,V1009,External,,PG5,Raw Materials Procurement,ZNB,Subcontracting,2025-08-11,4547220099,170,4,MG06,Seals & Gaskets,MAT00047,1000047,PC-4919,224.0,29.0,14.0,2025-07-10,2026-10-08,2025-10-20,06,Postpone,,195.0,87.0,840227.7,815020.87,SGD,,0,2025-03-12 04:14:24,,224.0,,,224.0,29.0,9,,,
SAP01,P700,CO-SAP01,Spirit AeroSystems,V1007,Subcontractor,P700,PG4,MRO Procurement,ZNB,Subcontracting,2025-08-05,4574019136,10,3,MG06,Seals & Gaskets,MAT00004,1000004,PC-5892,453.0,212.0,38.0,2026-01-01,2026-07-19,2025-08-14,10,Bring forward,,241.0,59.0,838839.06,1018350.62,EUR,,19,2025-06-22 21:43:51,X,453.0,,,453.0,212.0,9,,X,
SAP02,P300,CO-SAP02,TransDigm Group,V1010,Intercompany,P600,PG5,Raw Materials Procurement,ZNB,Subcontracting,2024-06-28,4538408562,150,3,MG01,Raw Materials,MAT00037,1000037,PC-6529,322.0,35.0,38.0,2025-12-12,2026-02-12,2025-10-12,10,Postpone,2026-08-29,287.0,3.0,664083.56,484913.82,MXN,,29,2025-01-27 11:14:41,,322.0,,,322.0,35.0,9,,,
SAP01,P400,CO-SAP01,Safran SA,V1004,Subcontractor,P010,PG2,Electronics Procurement,UB,Stock Transfer,2024-09-26,4525372341,60,3,MG01,Raw Materials,MAT00009,1000009,PC-2771,474.0,176.0,29.0,2025-11-07,2026-10-16,2026-01-20,10,Bring forward,,298.0,103.0,384020.68,353798.25,CNY,,10,2025-02-22 22:49:19,,474.0,,,474.0,176.0,9,,X,
SAP02,P900,CO-SAP02,Spirit AeroSystems,V1007,Intercompany,P300,PG5,Raw Materials Procurement,NB,Standard PO,2024-06-13,4568450095,60,5,MG06,Seals & Gaskets,MAT00042,1000042,PC-5425,411.0,35.0,31.0,2026-03-03,2026-08-04,2026-05-11,10,Cancel,2026-10-31,376.0,50.0,1806428.08,1953471.33,GBP,,10,2026-03-02 02:17:56,X,411.0,,,411.0,35.0,,X,X,
SAP02,P600,CO-SAP02,Precision Castparts Corp,V1001,External,P900,PG2,Electronics Procurement,FO,Framework Order,2025-05-30,4535643159,30,2,MG08,Sub-Assemblies,MAT00032,1000032,PC-7658,171.0,120.0,24.0,2026-06-24,2026-05-13,2025-09-04,10,Cancel,,51.0,0.0,178954.41,154938.73,EUR,,13,2025-04-24 12:44:15,X,171.0,,,171.0,120.0,9,X,X,
SAP02,P900,CO-SAP02,Heico Corp,V1009,Subcontractor,P900,PG5,Raw Materials Procurement,ZNB,Subcontracting,2025-09-08,4534850391,70,2,MG06,Seals & Gaskets,MAT00022,1000022,PC-8933,154.0,28.0,14.0,2026-03-29,2026-05-19,2026-06-22,12,Postpone,2026-04-10,126.0,19.0,454760.46,404418.48,GBP,,18,2025-04-02 09:00:45,,154.0,,,154.0,28.0,5,,,
SAP02,P900,CO-SAP02,MTU Aero Engines,V1005,Intercompany,P200,PG1,Structures Procurement,ZNB,Subcontracting,2025-03-19,4518770247,130,4,MG03,Castings & Forgings,MAT00001,1000001,PC-2213,240.0,65.0,29.0,2026-05-18,2026-08-29,2025-02-24,06,Bring forward,2026-06-05,175.0,7.0,844870.25,719407.02,SGD,,10,2025-03-02 17:48:26,,240.0,,,240.0,65.0,9,X,X,
SAP03,P800,CO-SAP03,MTU Aero Engines,V1005,Subcontractor,P200,PG5,Raw Materials Procurement,FO,Framework Order,2026-02-15,4531079846,80,2,MG07,Bearings,MAT00040,1000040,PC-2229,474.0,79.0,8.0,2025-12-27,2026-02-20,2026-04-07,12,Cancel,,395.0,46.0,419892.9,419892.9,USD,,13,2025-12-26 14:04:43,,474.0,,,474.0,79.0,5,,X,
SAP01,P200,CO-SAP01,Heico Corp,V1009,Intercompany,P800,PG3,Mechanical Procurement,UB,Stock Transfer,2024-08-01,4526690465,150,3,MG04,Electronic Components,MAT00010,1000010,PC-7594,397.0,189.0,47.0,2026-02-12,2026-03-26,2026-05-21,10,,2026-08-10,208.0,76.0,857575.68,857575.68,USD,,11,2025-01-14 02:14:43,,397.0,,,397.0,189.0,9,X,,
SAP02,P300,CO-SAP02,Ducommun Inc,V1008,External,P600,PG2,Electronics Procurement,FO,Framework Order,2025-10-17,4565250068,160,3,MG08,Sub-Assemblies,MAT00038,1000038,PC-7561,236.0,77.0,41.0,2026-03-09,2026-02-16,2025-02-07,10,,,159.0,26.0,256320.72,195521.45,CNY,,20,2026-03-19 16:52:00,X,236.0,,,236.0,77.0,5,,,
SAP02,P900,CO-SAP02,Triumph Group,V1006,Subcontractor,P010,PG1,Structures Procurement,ZNB,Subcontracting,2025-12-15,4542117961,60,3,MG08,Sub-Assemblies,MAT00014,1000014,PC-1224,464.0,163.0,28.0,2025-07-18,2026-03-09,2025-08-19,,Cancel,2026-11-28,301.0,125.0,1051775.27,812917.11,GBP,,26,2026-01-02 09:32:45,X,464.0,,,464.0,163.0,5,X,X,
SAP01,P400,CO-SAP01,Ducommun Inc,V1008,Subcontractor,P500,PG2,Electronics Procurement,ZNB,Subcontracting,2024-10-18,4510344303,100,3,MG03,Castings & Forgings,MAT00039,1000039,PC-9022,139.0,88.0,43.0,2026-01-15,2026-02-05,2026-05-11,07,Postpone,2026-10-06,51.0,10.0,106108.56,133749.84,SGD,,15,2026-03-22 06:44:15,X,139.0,,,139.0,88.0,,X,,
SAP02,P600,CO-SAP02,Senior Aerospace,V1012,External,P800,PG4,MRO Procurement,ZNB,Subcontracting,2024-11-03,4523383077,170,4,MG08,Sub-Assemblies,MAT00043,1000043,PC-1251,482.0,49.0,36.0,2025-12-27,2026-09-11,2025-06-08,,Cancel,2026-05-16,433.0,73.0,2090138.63,1879452.66,MXN,,20,2025-11-29 02:54:21,X,482.0,,,482.0,49.0,5,X,,
SAP01,P010,CO-SAP01,Honeywell Aerospace,V1002,External,P500,PG2,Electronics Procurement,FO,Framework Order,2025-08-19,4513885234,20,3,MG04,Electronic Components,MAT00048,1000048,PC-1919,380.0,214.0,15.0,2025-12-09,2026-02-20,2026-03-18,06,Bring forward,2026-10-17,166.0,57.0,84913.98,84913.98,USD,,6,2025-03-29 05:05:39,X,380.0,,,380.0,214.0,9,,X,
SAP01,P010,CO-SAP01,GE Aviation,V1003,Intercompany,P010,PG3,Mechanical Procurement,ZNB,Subcontracting,2024-06-10,4550151803,140,3,MG04,Electronic Components,MAT00030,1000030,PC-8484,451.0,244.0,42.0,2025-09-10,2026-08-27,2026-01-29,10,,,207.0,59.0,165248.1,159464.42,GBP,,13,2025-12-25 09:01:53,X,451.0,,,451.0,244.0,5,,,
SAP01,P010,CO-SAP01,Senior Aerospace,V1012,Subcontractor,P300,PG2,Electronics Procurement,FO,Framework Order,2025-01-11,4594322033,40,1,MG08,Sub-Assemblies,MAT00039,1000039,PC-6061,96.0,19.0,39.0,2025-06-18,2026-11-22,2026-01-09,06,,2026-06-17,77.0,29.0,291085.41,337804.62,GBP,,6,2025-04-13 04:50:34,X,96.0,,,96.0,19.0,9,X,,
