TAS_SOURCE_ID,SNAPSHOT_ID,SNAPSHOT_TYPE,MATERIAL_NUMBER,MATERIAL_ID,MATERIAL_DESCRIPTION,MATERIAL_TYPE,PLANT_ID,PLANT_NAME,COMPANY_CODE,PROFIT_CENTER,OE_SPARES_MRO,SEGMENT,LTB,LIFE_CYCLE,DCM_CLASS,NO_ABC,EXCHANGE_RATE,CURRENCY,STANDARD_PRICE_LC,STANDARD_PRICE_USD,PROCUREMENT_TYPE,MRP_CONTROLLER_ID,VALUATION_TYPE,MRP_GROUP,MATERIAL_GROUP_4_ID,MATERIAL_GROUP_5_ID,CURRENT_EMP_POLICY,ON_HAND_QTY,ON_HAND_VALUE_LC,ON_HAND_VALUE_USD,IN_TRANSIT_QTY,IN_TRANSIT_VALUE_USD,BLOCKED_QTY,QI_QTY,SAFETY_STOCK_QTY,REORDER_POINT_QTY,AVG_MONTHLY_DEMAND,AVG_MONTHLY_DEMAND_VALUE_USD,EXCESS_QTY,EXCESS_VALUE_USD,SLOW_MOVING_QTY,OBSOLETE_QTY,MONTHS_ON_HAND,DAYS_ON_HAND,LEAD_TIME_DAYS
SAP01,SNAP-20260313,WEEKLY,1000009,MAT00009,Part assembly J-9,ROH,P700,Wolverhampton,CO-SAP01,PC-3093,MRO,Avionics,Y,New Introduction,C,A,0.8339,GBP,2127.96,1774.51,F,MRP-416,,GRP-7,MG4-449,MG5-884,REORDER POINT,192.0,199995.32,30989.03,59.0,39406.01,25.0,16.0,148.0,158.0,66.19,43819.64,124.0,59724.64,15.0,9.0,24.9,675.0,163.0
SAP03,SNAP-20260226,WEEKLY,1000003,MAT00003,Part assembly D-3,HIBE,P800,Suzhou,CO-SAP03,PC-4833,MRO,Mission Systems,N,New Introduction,B,B,1.0878,EUR,1096.08,1192.32,X,MRP-684,NEW,GRP-15,MG4-887,MG5-388,REORDER POINT,503.0,83732.17,32411.63,40.0,30233.17,44.0,2.0,96.0,111.0,93.43,35570.05,103.0,12467.78,8.0,8.0,16.2,554.0,150.0
SAP01,SNAP-20260223,MONTHLY,1000015,MAT00015,Part assembly P-15,HIBE,P200,Rockford,CO-SAP01,PC-9224,Spares,Mission Systems,N,Active,C,A,1.1722,EUR,2654.47,3111.57,E,MRP-426,,GRP-11,MG4-910,MG5-249,MIN-MAX,38.0,183479.23,94490.99,166.0,37942.06,23.0,18.0,181.0,6.0,21.57,7475.98,188.0,60888.01,42.0,39.0,8.6,132.0,47.0
SAP01,SNAP-20260305,MONTHLY,1000030,MAT00030,Part assembly E-30,ERSA,P010,Jacksonville,CO-SAP01,PC-4963,MRO,Mission Systems,N,New Introduction,A,C,1.0,USD,337.02,337.02,F,MRP-346,REPAIRED,GRP-14,MG4-291,MG5-780,MRP,86.0,194930.9,13535.86,105.0,25366.38,49.0,17.0,78.0,141.0,63.57,49051.97,51.0,1624.22,79.0,17.0,26.4,679.0,140.0
SAP02,SNAP-20260213,MONTHLY,1000009,MAT00009,Part assembly J-9,HIBE,P600,Figeac,CO-SAP02,PC-8840,MRO,Mission Systems,Y,Active,D,A,1.0,USD,1060.14,1060.14,F,MRP-306,,GRP-7,MG4-142,MG5-423,REORDER POINT,515.0,197824.54,108606.14,51.0,37664.55,10.0,11.0,156.0,260.0,33.19,6223.75,74.0,88948.65,74.0,45.0,13.9,1052.0,92.0
SAP03,SNAP-20260224,MONTHLY,1000024,MAT00024,Part assembly Y-24,HIBE,P800,Suzhou,CO-SAP03,PC-3956,MRO,Interiors,N,Active,A,B,0.833,GBP,803.83,669.59,X,MRP-402,NEW,GRP-15,MG4-717,MG5-834,REORDER POINT,167.0,88781.68,89425.93,145.0,45580.36,31.0,13.0,128.0,237.0,5.74,33559.19,81.0,51308.6,75.0,8.0,1.1,917.0,124.0
SAP03,SNAP-20260324,WEEKLY,1000003,MAT00003,Part assembly D-3,ROH,P800,Suzhou,CO-SAP03,PC-7272,MRO,Aerostructures,,Phase Out,D,B,1.0,USD,206.36,206.36,F,MRP-554,,GRP-19,MG4-240,MG5-642,REORDER POINT,398.0,129912.15,49922.33,23.0,36783.74,25.0,12.0,112.0,79.0,26.03,22313.66,199.0,28557.69,92.0,25.0,4.4,921.0,84.0
SAP03,SNAP-20260214,MONTHLY,1000006,MAT00006,Part assembly G-6,ERSA,P800,Suzhou,CO-SAP03,PC-9882,Spares,Interiors,Y,Phase Out,C,C,1.1946,GBP,2902.85,3467.74,E,MRP-224,,GRP-5,MG4-342,MG5-909,REORDER POINT,26.0,110804.29,73782.23,161.0,27582.35,31.0,3.0,62.0,300.0,71.89,26284.78,154.0,82333.94,7.0,49.0,23.1,486.0,124.0
SAP02,SNAP-20260117,WEEKLY,1000009,MAT00009,Part assembly J-9,ERSA,P600,Figeac,CO-SAP02,PC-1907,OE,Avionics,Y,Obsolete,B,A,0.8728,GBP,1921.18,1676.81,F,MRP-826,,GRP-12,MG4-631,MG5-390,MIN-MAX,251.0,127011.42,110168.28,25.0,15141.23,27.0,15.0,34.0,282.0,15.42,32936.64,144.0,60513.89,84.0,28.0,29.7,31.0,13.0
SAP01,SNAP-20260321,MONTHLY,1000017,MAT00017,Part assembly R-17,HIBE,P010,Jacksonville,CO-SAP01,PC-9938,Spares,Interiors,N,Phase Out,D,B,1.0289,GBP,636.37,654.76,F,MRP-174,REPAIRED,GRP-2,MG4-261,MG5-550,REORDER POINT,484.0,40804.6,121332.05,63.0,35918.14,37.0,26.0,195.0,39.0,37.05,28082.56,64.0,46647.26,27.0,12.0,3.5,313.0,72.0
SAP01,SNAP-20260121,WEEKLY,1000027,MAT00027,Part assembly B-27,ERSA,P010,Jacksonville,CO-SAP01,PC-6123,OE,Mission Systems,N,New Introduction,D,B,1.0,USD,2888.24,2888.24,F,MRP-123,,GRP-13,MG4-617,MG5-568,MIN-MAX,215.0,70579.02,10108.08,99.0,44116.97,33.0,14.0,107.0,254.0,43.09,44122.79,146.0,76385.68,37.0,20.0,20.5,210.0,102.0
SAP01,SNAP-20260321,MONTHLY,1000025,MAT00025,Part assembly Z-25,HALB,P200,Rockford,CO-SAP01,PC-2584,Spares,Interiors,N,Obsolete,B,A,1.0199,GBP,1353.81,1380.75,X,MRP-621,NEW,GRP-17,MG4-141,MG5-146,MIN-MAX,137.0,66608.14,94748.83,91.0,30313.03,26.0,10.0,123.0,49.0,99.06,36965.97,60.0,33637.35,83.0,27.0,25.5,324.0,148.0
SAP02,SNAP-20260209,MONTHLY,1000022,MAT00022,Part assembly W-22,ERSA,P600,Figeac,CO-SAP02,PC-8775,Spares,Avionics,,Phase Out,A,C,0.9666,GBP,333.27,322.14,F,MRP-274,REPAIRED,GRP-20,MG4-893,MG5-961,REORDER POINT,148.0,136145.38,6314.1,190.0,5494.78,1.0,9.0,30.0,207.0,41.04,38748.62,184.0,87281.77,74.0,3.0,5.0,224.0,62.0
SAP03,SNAP-20260310,WEEKLY,1000034,MAT00034,Part assembly I-34,ERSA,P800,Suzhou,CO-SAP03,PC-6804,MRO,Interiors,,New Introduction,B,A,0.8693,EUR,944.69,821.22,F,MRP-671,NEW,GRP-8,MG4-404,MG5-889,REORDER POINT,705.0,138047.98,97800.62,96.0,28024.38,47.0,22.0,58.0,172.0,54.32,44788.02,79.0,34513.47,77.0,7.0,1.5,1032.0,19.0
SAP03,SNAP-20260310,WEEKLY,1000042,MAT00042,Part assembly Q-42,ERSA,P800,Suzhou,CO-SAP03,PC-5450,OE,Aerostructures,,Phase Out,B,A,0.8856,EUR,2243.28,1986.65,X,MRP-643,,GRP-8,MG4-153,MG5-202,REORDER POINT,330.0,94480.78,136238.4,27.0,48225.94,49.0,5.0,131.0,264.0,47.57,32526.93,151.0,28724.5,29.0,3.0,27.7,704.0,46.0
SAP01,SNAP-20260105,WEEKLY,1000012,MAT00012,Part assembly M-12,HIBE,P100,Windsor Locks,CO-SAP01,PC-4052,MRO,Interiors,Y,Active,C,C,0.8703,EUR,2647.32,2303.96,X,MRP-209,NEW,GRP-10,MG4-565,MG5-756,MRP,524.0,177851.99,26839.99,101.0,13641.85,40.0,10.0,146.0,194.0,71.86,704.21,67.0,29502.43,67.0,10.0,22.0,690.0,76.0
SAP01,SNAP-20260124,MONTHLY,1000033,MAT00033,Part assembly H-33,HIBE,P700,Wolverhampton,CO-SAP01,PC-6301,OE,Aerostructures,N,New Introduction,B,B,1.0677,EUR,264.78,282.71,F,MRP-437,NEW,GRP-19,MG4-840,MG5-686,MIN-MAX,262.0,71910.42,47260.52,134.0,23269.75,8.0,21.0,185.0,266.0,76.98,34514.52,128.0,94063.56,37.0,11.0,34.5,516.0,85.0
SAP01,SNAP-20260310,MONTHLY,1000024,MAT00024,Part assembly Y-24,HALB,P010,Jacksonville,CO-SAP01,PC-2341,MRO,Power & Controls,,Obsolete,A,C,1.1651,EUR,2107.31,2455.23,E,MRP-163,REPAIRED,GRP-17,MG4-307,MG5-686,MRP,150.0,65623.53,104068.31,23.0,10270.07,29.0,3.0,102.0,243.0,45.34,25662.39,91.0,5773.68,46.0,40.0,26.0,428.0,148.0
SAP01,SNAP-20260214,MONTHLY,1000038,MAT00038,Part assembly M-38,ERSA,P400,Pueblo,CO-SAP01,PC-1987,OE,Power & Controls,Y,Obsolete,D,A,1.0,USD,140.64,140.64,E,MRP-884,REPAIRED,GRP-14,MG4-483,MG5-491,REORDER POINT,870.0,181353.46,75129.11,137.0,33089.63,27.0,20.0,70.0,54.0,53.73,26442.13,146.0,22269.02,0.0,1.0,10.7,727.0,100.0
SAP02,SNAP-20260214,MONTHLY,1000025,MAT00025,Part assembly Z-25,ROH,P900,Mexicali,CO-SAP02,PC-4088,MRO,Aerostructures,Y,New Introduction,A,A,1.0,USD,746.3,746.3,E,MRP-168,,GRP-20,MG4-134,MG5-557,MRP,672.0,174442.48,48946.83,9.0,21948.14,27.0,23.0,155.0,42.0,99.35,11708.08,183.0,57611.03,58.0,39.0,29.5,256.0,158.0
SAP02,SNAP-20260317,MONTHLY,1000015,MAT00015,Part assembly P-15,HIBE,P900,Mexicali,CO-SAP02,PC-9120,OE,Interiors,,New Introduction,C,C,0.8244,EUR,905.0,746.08,F,MRP-518,,GRP-10,MG4-485,MG5-288,MRP,474.0,169868.19,60147.28,142.0,40288.81,46.0,17.0,194.0,167.0,13.41,12142.93,41.0,64670.59,92.0,42.0,3.3,783.0,38.0
SAP03,SNAP-20260110,MONTHLY,1000025,MAT00025,Part assembly Z-25,ERSA,P500,Singapore,CO-SAP03,PC-4555,Spares,Mission Systems,N,Obsolete,A,A,0.8158,GBP,1816.88,1482.21,E,MRP-859,,GRP-16,MG4-348,MG5-812,MRP,704.0,79326.41,47866.19,64.0,14152.96,23.0,19.0,62.0,108.0,88.28,23300.2,161.0,72241.36,76.0,16.0,7.3,338.0,13.0
SAP01,SNAP-20260312,WEEKLY,1000048,MAT00048,Part assembly W-48,ROH,P400,Pueblo,CO-SAP01,PC-3497,OE,Interiors,Y,New Introduction,B,B,1.0,USD,53.58,53.58,X,MRP-770,REPAIRED,GRP-11,MG4-363,MG5-881,REORDER POINT,967.0,128338.89,98119.12,34.0,39748.78,8.0,22.0,98.0,275.0,54.21,32090.47,12.0,3382.38,85.0,47.0,24.1,825.0,77.0
SAP01,SNAP-20260228,WEEKLY,1000005,MAT00005,Part assembly F-5,FERT,P400,Pueblo,CO-SAP01,PC-8916,MRO,Power & Controls,Y,Active,D,A,0.8875,GBP,457.33,405.88,E,MRP-642,REPAIRED,GRP-9,MG4-648,MG5-393,MIN-MAX,502.0,139571.82,86114.64,188.0,8963.34,46.0,16.0,48.0,186.0,25.24,17722.06,159.0,7901.92,96.0,23.0,8.8,753.0,57.0
SAP01,SNAP-20260218,WEEKLY,1000042,MAT00042,Part assembly Q-42,ERSA,P200,Rockford,CO-SAP01,PC-8798,OE,Aerostructures,,Phase Out,A,B,0.8374,GBP,2279.96,1909.24,F,MRP-760,NEW,GRP-19,MG4-978,MG5-197,MRP,919.0,45953.3,180254.59,138.0,28339.21,14.0,28.0,137.0,84.0,54.3,32905.46,36.0,85042.76,2.0,10.0,5.2,886.0,149.0
SAP01,SNAP-20260314,WEEKLY,1000020,MAT00020,Part assembly U-20,ERSA,P200,Rockford,CO-SAP01,PC-6435,Spares,Mission Systems,,Active,C,A,1.0,USD,1694.05,1694.05,E,MRP-547,,GRP-3,MG4-448,MG5-719,MRP,955.0,79340.61,154710.98,6.0,13666.35,50.0,15.0,71.0,282.0,43.18,33984.74,132.0,8569.41,62.0,40.0,25.7,89.0,32.0
SAP02,SNAP-20260101,WEEKLY,1000048,MAT00048,Part assembly W-48,HIBE,P300,Burnsville,CO-SAP02,PC-6896,Spares,Aerostructures,Y,Active,B,B,0.8426,EUR,953.45,803.38,F,MRP-670,REPAIRED,GRP-17,MG4-517,MG5-205,MIN-MAX,90.0,110843.96,119384.91,157.0,43185.91,1.0,12.0,156.0,217.0,55.95,49636.51,49.0,52110.45,69.0,8.0,9.7,290.0,31.0
SAP02,SNAP-20260110,WEEKLY,1000028,MAT00028,Part assembly C-28,ROH,P300,Burnsville,CO-SAP02,PC-5040,MRO,Power & Controls,,Phase Out,D,A,0.9937,EUR,1266.2,1258.22,E,MRP-411,,GRP-13,MG4-440,MG5-961,MRP,380.0,172439.66,88044.58,86.0,41176.76,33.0,18.0,60.0,181.0,69.53,23950.49,36.0,39823.96,32.0,37.0,22.8,1045.0,142.0
SAP02,SNAP-20260115,MONTHLY,1000025,MAT00025,Part assembly Z-25,ERSA,P600,Figeac,CO-SAP02,PC-9939,OE,Avionics,Y,New Introduction,B,B,0.9572,EUR,2450.4,2345.52,F,MRP-951,REPAIRED,GRP-3,MG4-938,MG5-968,REORDER POINT,673.0,27835.82,60566.53,51.0,7707.16,21.0,11.0,90.0,179.0,58.22,26718.37,185.0,86963.37,42.0,2.0,34.9,758.0,147.0
SAP01,SNAP-20260201,WEEKLY,1000041,MAT00041,Part assembly P-41,HALB,P010,Jacksonville,CO-SAP01,PC-1725,MRO,Power & Controls,N,New Introduction,A,A,1.0,USD,332.56,332.56,E,MRP-364,,GRP-17,MG4-864,MG5-631,MRP,581.0,115047.08,89155.71,78.0,38617.11,29.0,15.0,69.0,7.0,10.45,20798.77,192.0,11606.93,94.0,7.0,11.2,492.0,41.0
